UTC format,success percent,,,,,,,,,,,,,,,,,,,
"Date.UTC(1976,4,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2008,1,0)",0.917293233,,,,,,,,,,,,,,,,,,,
"Date.UTC(1990,4,0)",0.5,,,,,,,,,,,,,,,,,,,
"Date.UTC(2001,5,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2012,1,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2008,1,0)",0.917293233,,,,,,,,,,,,,,,,,,,
"Date.UTC(1999,8,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2008,3,0)",0.960526316,,,,,,,,,,,,,,,,,,,
"Date.UTC(1995,3,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1999,10,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1996,1,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2003,4,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1997,10,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1989,7,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2013,4,0)",0.666666667,,,,,,,,,,,,,,,,,,,
"Date.UTC(2001,3,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1997,3,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1912,5,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1991,1,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2013,1,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1999,12,0)",0.75,,,,,,,,,,,,,,,,,,,
"Date.UTC(2002,10,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2000,10,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2008,10,0)",0.961538462,,,,,,,,,,,,,,,,,,,
"Date.UTC(2010,7,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1881,12,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1997,5,0)",0.75,,,,,,,,,,,,,,,,,,,
"Date.UTC(1984,3,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1998,5,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1987,10,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1986,11,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2008,4,0)",0.94047619,,,,,,,,,,,,,,,,,,,
"Date.UTC(1997,1,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1999,4,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2009,1,0)",0.901639344,,,,,,,,,,,,,,,,,,,
"Date.UTC(2012,12,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1938,9,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1980,9,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2000,6,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1998,3,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2009,5,0)",0.916666667,,,,,,,,,,,,,,,,,,,
"Date.UTC(2008,9,0)",0.946428571,,,,,,,,,,,,,,,,,,,
"Date.UTC(1983,4,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1997,8,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2000,11,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1997,4,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1988,4,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1998,1,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1997,6,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2008,12,0)",0.944444444,,,,,,,,,,,,,,,,,,,
"Date.UTC(2009,3,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2002,8,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2000,9,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1981,2,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1993,1,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2008,11,0)",0.945945946,,,,,,,,,,,,,,,,,,,
"Date.UTC(1994,2,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1994,4,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1998,10,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1979,9,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2011,8,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1993,7,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1985,8,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2000,4,0)",1,,,,,,,,,,,,,,,,,,,
