Document Index (generated),Category Code,Number Of Employees,Acquired,Competitors,No of Investors,State Code,Blog Url,Homepage Url,Money
495,finance,11,0,0,5,CA,1,1,9
496,mobile,35,0,0,3,CA,0,1,7.4
498,web,30,1,4,9,NY,1,1,6.5
499,games_video,0,0,2,16,NY,1,1,4.61
500,games_video,38,0,0,1,MN,1,1,0
501,web,0,0,2,1,CA,0,1,0
502,ecommerce,0,1,0,2,CA,0,1,4
503,ecommerce,7,0,0,1,CA,1,1,0
504,games_video,153,0,5,2,CA,1,1,100
505,web,0,0,2,3,CA,0,1,6.3
506,music,55,1,16,12,CA,0,1,24.8
507,advertising,0,1,13,10,CA,0,1,46.8
509,web,2,0,0,1,CA,0,1,0
510,enterprise,0,1,0,1,IL,0,1,0
511,enterprise,0,1,0,10,CA,1,1,40.8
512,software,0,1,0,16,CA,1,1,25.2
513,web,0,0,4,2,CA,1,1,0
514,other,18,0,5,7,NY,1,1,2.8
516,advertising,50,0,0,31,CA,1,1,64.3
517,web,0,0,0,1,NY,0,1,0
518,games_video,0,0,0,1,WA,0,1,0
519,games_video,28,0,0,2,CA,0,1,3.5
520,photo_video,6,0,0,3,CA,1,1,1.65
522,web,0,1,0,1,NY,0,1,0
523,search,20,0,7,5,NY,1,1,1.83
524,software,50,0,15,6,CA,1,1,69.4
525,web,0,0,0,1,TX,1,1,0
526,health,450,0,8,9,NY,1,1,97
527,public_relations,26,1,8,3,UT,1,1,1.9
528,web,51,1,4,7,CA,1,1,17.4
529,analytics,0,1,0,6,CA,0,1,12
530,web,11,1,10,3,VA,1,1,3.5
531,travel,63,1,8,5,CA,1,1,13.1
532,advertising,380,0,4,14,CA,1,1,63
533,mobile,25,0,0,8,CA,1,1,7.1
534,web,0,1,0,1,CO,0,1,0
535,software,0,0,0,1,CT,0,1,0
536,software,11,0,0,1,IL,1,1,0
537,web,4,0,0,3,CA,0,1,0.169
538,web,15,0,5,1,CA,0,1,0
540,network_hosting,0,0,2,1,NY,1,1,0
541,web,6,0,0,1,CA,1,1,0.25
543,software,30,0,0,1,OR,1,1,0
544,other,0,0,6,1,IL,1,1,0
545,travel,0,0,0,1,CA,1,1,1
548,mobile,0,0,0,1,MD,1,1,0
549,games_video,30,0,2,4,WA,0,1,3.97
550,mobile,16,0,0,11,NY,1,1,19
553,web,7,0,0,1,NY,1,1,1.7
554,web,5,1,0,1,TX,1,1,0
555,web,0,1,0,2,CA,0,1,47.5
556,web,2,0,3,3,WA,1,1,0.45
557,games_video,0,0,0,7,CA,0,1,8
558,advertising,0,0,0,12,ID,1,1,24.5
560,web,15,0,6,5,IL,1,1,5
561,software,45,0,0,10,MA,1,1,24.5
562,enterprise,0,0,0,6,WA,1,1,32.4
563,web,0,0,0,3,CO,1,1,0
564,advertising,32,1,0,9,CO,1,1,27.3
565,social,0,0,5,5,CA,1,1,8.7
566,legal,0,0,0,6,WA,1,1,23
567,advertising,0,1,0,9,CA,0,1,31
568,web,0,1,0,1,WA,1,1,0
570,web,0,1,0,3,CA,1,1,0.4
571,games_video,0,1,0,3,CA,1,1,1
572,web,0,0,0,2,CA,1,1,1.5
573,web,5,0,4,3,MA,1,1,1.75
574,advertising,160,1,0,17,NY,1,1,32.5
575,network_hosting,0,0,0,7,MA,0,1,32
579,web,0,1,0,1,CA,0,1,0
581,web,0,1,0,1,CA,0,1,0
582,web,0,1,0,1,CA,0,1,0
583,web,0,0,0,1,CA,0,0,46.4
584,web,0,1,0,1,CA,0,0,0
587,web,0,1,0,1,CA,0,1,0
588,web,0,0,0,1,CA,0,1,0
589,search,30,0,4,5,CA,0,1,33
591,public_relations,0,0,0,1,NY,1,1,0
592,enterprise,35,1,0,3,PA,1,1,4.9
594,music,60,0,6,8,NY,1,1,30
595,web,13,1,4,2,MA,1,1,3
596,web,0,0,0,1,CA,1,1,0
597,web,0,0,3,4,CA,1,1,11.6
598,web,0,0,0,1,CA,1,1,0
599,web,5,0,0,1,CA,1,1,0
600,hardware,0,0,0,20,CA,0,1,403
601,web,0,0,0,1,CA,0,1,0
602,web,15,0,2,5,CA,1,1,7.35
604,games_video,3,0,0,1,CA,1,1,0.5
605,games_video,12,1,0,6,CA,0,1,9.4
606,software,0,1,13,32,CA,1,1,41.8
609,software,8,0,4,8,CA,1,1,25.1
610,software,8,0,0,2,CA,1,1,3.11
611,web,30,0,3,4,CA,1,1,8
612,music,13,0,0,3,TX,0,1,6.5
613,web,0,0,0,1,CA,0,1,0
615,web,800,0,3,2,CA,1,1,2.3
616,web,6,0,0,1,TX,0,1,0
617,ecommerce,0,0,0,2,CA,0,1,0.85
618,web,0,0,0,1,CA,0,1,1.2
619,web,2,1,0,1,MA,1,1,0
620,mobile,3,0,0,1,PA,0,1,0.1
622,public_relations,35,0,4,1,NY,1,1,0
623,software,9,1,0,1,CA,1,1,0
624,web,0,0,2,1,NV,1,1,0
625,games_video,0,0,0,1,CA,0,1,0
626,ecommerce,9,0,0,1,CA,1,1,0
627,web,0,0,0,1,CA,0,1,0
628,software,160,0,3,14,NY,1,1,69.1
629,web,13,0,0,1,MD,0,1,0
631,health,0,1,4,7,MA,0,1,41
635,mobile,30,1,0,8,NY,0,1,17.6
636,web,2,0,0,1,FL,0,1,0
637,web,0,0,3,1,CA,1,1,0
638,web,0,1,0,1,FL,1,1,0
639,web,4,0,0,1,CA,1,1,0
641,messaging,0,0,5,16,CA,1,1,44
642,web,6,0,5,3,CA,0,1,0.135
643,real_estate,600,0,9,6,WA,1,1,96.6
644,search,130,0,6,4,WA,1,1,19.3
645,web,0,0,0,3,MA,1,1,10
646,web,0,0,0,5,NY,1,1,25
647,enterprise,0,0,3,1,MA,0,1,0
648,web,0,0,5,3,CA,1,1,0
650,mobile,0,0,0,2,CA,0,1,4
651,games_video,0,1,0,17,CA,0,1,46.3
652,software,0,0,4,23,WA,1,1,116
653,network_hosting,6,1,3,11,CA,1,1,2.6
655,games_video,0,0,5,1,CA,0,1,2.5
656,web,0,1,6,5,CA,1,1,16
657,hardware,0,0,0,1,CO,0,1,0
658,web,1,0,0,1,CA,0,1,0.3
659,advertising,0,1,0,4,CA,0,1,10
661,enterprise,200,1,5,9,CA,1,1,14.5
663,web,3,1,0,1,CA,1,1,0
664,web,0,1,19,3,CA,1,1,5
665,web,0,0,2,1,CA,1,1,2.5
666,games_video,3,1,0,1,WA,1,1,0
667,web,4,0,0,1,NY,1,1,0
668,games_video,25,1,6,6,CA,1,1,3
669,search,0,0,0,1,CA,1,1,0
671,ecommerce,0,0,8,15,MA,0,1,46.4
673,enterprise,30,1,0,1,CA,0,1,0
